Index,Longitud,Latitud,Index,Longitud,Latitude,Index,Longitud,Latitud,Index,Longitud,Latitude,Index,Longitud,Latitude,Index,Longitud,Latitud,Index,Longitud,Latitud,Index,Longitud,Latitud
0,-110.998,25.817,0,-111.385,26.751,0,-111.211,25.741,0,-110.828,25.584,0,-111.1545,25.751,0,-110.677,24.436,0,-111.437,26.632,0,-110.9585,25.9025
1,-110.55,25.799,3,-111.1515,25.873,1,-111.188,25.68,1,-111.029,25.78875,1,-111.069,25.69233333,1,-110.463,24.651,3,-112.819,28.665,1,-110.7573333,25.745
2,-110.983,25.794,5,-111.085,26.051,3,-111.039,25.804,2,-111.1106667,25.77066667,2,-111.2425,25.7755,5,-110.478,24.355,18,-112.274,28.285,2,-111.121,25.89166667
5,-111.1175,25.9435,8,-111.3,26.152,4,-111.043,25.913,3,-110.7775,25.955,3,-111.273,26.085,7,-110.403,24.442,22,-112.679,28.243,3,-111.057,25.965
10,-111.5935,28.0865,11,-111.288,25.769,5,-111.1045,25.9345,4,-110.681,25.9165,4,-110.991,26.0746,10,-110.495,24.422,23,-112.717,28.206,4,-110.936,26.024
16,-112.649,28.061,12,-111.394,26.118,6,-111.209,25.799,5,-110.971,25.81,5,-110.9436,26.142,13,-110.501,24.588,25,-111.953,28.068,5,-110.8275,26.071
18,-112.6815,28.3785,15,-111.057,26.149,7,-111.1,25.941,6,-111.0326667,25.97333333,6,-111.08625,25.99825,16,-110.668,24.638,30,-112.313,27.735,9,-111.817,27.258
19,-112.713,28.388,18,-110.742,26.009,8,-110.773,25.664,7,-111.02,25.881,7,-110.923,25.877,17,-110.385,24.658,34,-112.505,27.861,19,-111.771,27.231
21,-112.8815,28.582,19,-111.366,26.467,9,-110.9663333,25.65766667,8,-111.0076667,26.12633333,8,-111.144,25.946,18,-110.549,24.541,35,-112.532,28.045,20,-112.314,27.573
22,-112.854,28.58433333,23,-111.414,26.377,10,-110.679,25.705,9,-111.121,26.03333333,9,-111.028,25.94375,19,-110.502,24.618,41,-113.044,29.201,21,-112.116,27.587
23,-112.9485,28.6025,24,-111.374,26.61,11,-111.011,25.687,10,-110.9806667,25.872,10,-111.073,26.002,20,-110.4425,24.6445,44,-111.233,27.955,22,-112.487,27.65266667
24,-112.813,28.848,27,-111.185,27.095,14,-111.1466667,25.68466667,11,-111.0513333,25.887,11,-111.0736667,25.87633333,,,,46,-112.524,27.766,23,-112.3682,27.6254
26,-112.41,28.589,28,-111.436,27.339,15,-111.004,25.734,12,-110.77,25.824,12,-111.042,25.6665,,,,48,-112.338,27.641,24,-112.2646667,27.65233333
27,-112.6925,28.484,29,-112.039,28.243,16,-110.8645,25.4395,13,-111.195,25.807,13,-111.174,25.8075,,,,51,-112.407,27.905,25,-112.319,27.614
29,-112.4225,28.5235,31,-111.73,28.258,17,-110.894,25.198,14,-111.069,25.674,14,-110.912,25.6,,,,54,-112.939,28.476,,,
30,-112.4136667,28.62233333,34,-112.1075,28.3505,18,-110.856,25.18733333,15,-110.988,25.581,15,-111.13,25.78725,,,,57,-112.254,28.351,,,
31,-112.561,28.525,36,-112.192,28.693,19,-110.7736667,25.07866667,17,-110.715,25.1575,17,-111.149,25.6805,,,,59,-112.4335,28.4205,,,
36,-112.612,28.334,37,-111.733,28.2815,22,-110.52,24.764,18,-110.6306667,25.15366667,19,-111.021,25.86,,,,61,-112.668,28.373,,,
37,-112.648,28.407,41,-112.15,27.573,23,-110.472,24.652,19,-110.482,25.137,21,-110.7995,25.1895,,,,62,-112.708,28.346,,,
38,-112.687,28.2725,43,-112.394,27.588,24,-110.758,25.0205,,,,22,-110.584,24.9095,,,,63,-112.758,28.425,,,
39,-112.672,28.198,44,-112.027,27.3925,25,-110.8355,25.1045,,,,23,-110.624,24.789,,,,65,-112.748,28.387,,,
40,-112.42,28.3905,45,-112.172,27.601,26,-110.954,25.371,,,,26,-110.504,24.398,,,,66,-112.646,28.412,,,
